"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-09",420,420,420,NA,NA,NA,NA
"1998-04-17",457,457,457,457,457,100,0.46
"1998-04-30",462.5,462.5,462.5,462.5,462.5,100,0.46
"1998-05-12",457,457,457,457,457,600,2.74
"1998-05-28",502,502,502,502,502,100,0.5
"1998-06-15",457,457,457,457,457,5000,22.85
"1998-07-17",457,457,457,457,457,10000,45.7
"1998-09-23",475,475,475,475,475,100,0.48
"1998-10-28",404.8,404.8,404.8,404.8,404.8,100,0.4
"1998-11-26",231.3,231.3,230,230,230,500,1.15
"1998-11-27",230,236.95,230,236.95,236.95,600,1.41
"1998-11-30",250,250,250,250,250,100,0.25
"1998-12-10",260,260,260,260,260,400,1.04
"1998-12-18",240.6,240.6,240.25,240.25,240.25,300,0.72
"1999-01-05",230,230,230,230,230,14200,32.66
"1999-01-08",246,246,246,246,246,100,0.25
"1999-01-22",240,245.9,233,245,245,735600,1760.97
"1999-01-25",245,264,244.9,256,256,3500,8.91
"1999-01-27",276,276.1,260,268,268,272600,729.91
"1999-01-28",270,270,246.6,246.6,246.6,23300,59.39
"1999-01-29",236,249,236,249,249,22700,55.21
"1999-02-01",246,260,246,253,253,292300,751.6
"1999-02-02",252.9,252.9,232.8,237.8,237.8,31500,75.1
"1999-02-03",254.5,256.85,247,252.4,252.4,158700,399.3
"1999-02-04",253.9,254,238.2,244.95,244.95,56200,138.27
"1999-02-05",239,247.95,239,240.05,240.05,29500,71.48
"1999-02-08",243.9,244.5,238,238.5,238.5,13200,31.58
"1999-02-09",236.5,236.5,219.45,224.5,224.5,27800,61.63
"1999-02-10",217.05,235,210.5,229.35,229.35,23400,52.16
"1999-02-11",234.9,246,232,239,239,35000,84.29
"1999-02-12",240,240,219.95,226.85,226.85,16100,36.38
"1999-02-15",229,229,222,222,222,1400,3.12
"1999-02-16",225,225.95,223,223,223,2500,5.62
"1999-02-17",228.8,228.8,220,220,220,1200,2.67
"1999-02-18",223.75,224,203.15,209.5,209.5,165200,352.71
"1999-02-19",202.5,209,196,196,196,7900,15.92
"1999-02-22",191,191,180.5,180.5,180.5,17000,30.87
"1999-02-23",180.4,187,175,184.5,184.5,5000,8.98
"1999-02-24",189,190,183.05,183.05,183.05,4400,8.15
"1999-02-25",180,194,180,189.2,189.2,14500,27.05
"1999-02-26",194.5,203.85,186.9,200.25,200.25,31300,61.99
"1999-02-27",200,207,195,197,197,9400,18.92
"1999-03-01",193.1,193.1,181.4,187.5,187.5,273400,500.98
"1999-03-03",192.45,195,190,193,193,83100,159.04
"1999-03-04",190.1,192.5,190,190.15,190.15,26000,49.43
"1999-03-05",186,189.9,185,187,187,4400,8.27
"1999-03-08",190,193.9,189,193.9,193.9,29600,56.28
