"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",65.5,66.25,64.05,NA,NA,NA,NA
"1998-03-23",66.5,67.5,65.1,66,66,17800,11.84
"1998-03-24",72.5,72.6,68,72.6,72.6,153300,109.02
"1998-03-25",76.5,79.9,75.2,79.9,79.9,408400,320.4
"1998-03-26",81,82.25,75.2,75.5,75.6,186200,146.05
"1998-03-27",75,77,73.35,75,75.25,138400,103.66
"1998-03-30",76.5,76.75,71.75,71.8,72.1,76700,56.61
"1998-03-31",70.65,72.7,67.05,67.6,68.15,244950,170.16
"1998-04-01",69.45,72.2,69.45,71.85,71.6,82200,58.36
"1998-04-02",70.1,72.6,69,70.5,70.1,62400,44.7
"1998-04-03",70,71.6,69.1,71.25,70.5,129000,91.02
"1998-04-06",73.4,77.55,73.4,77.55,77.55,208700,158.79
"1998-04-07",77,81,76.1,78.85,78.5,84750,66.95
"1998-04-09",79.95,84.5,79.4,80.5,80.45,319250,259.11
"1998-04-10",79.05,86.5,78.5,81.75,81.2,403650,335.47
"1998-04-13",79.05,89.3,77,88.95,88.05,490200,416.21
"1998-04-15",93.5,95.5,90.5,92.4,92.4,657900,611.06
"1998-04-16",92.9,93.45,87,88,88.05,252650,229.09
"1998-04-17",87.5,88.5,84,87.25,87.05,198550,171.21
"1998-04-20",87,90.9,85.5,85.5,86.55,298950,263.65
"1998-04-21",87,92.25,86,92,90.9,529900,477.67
"1998-04-22",94.8,99,90,90.1,91.35,509500,482.89
"1998-04-23",90.05,92,86.5,87,87.85,176400,158.47
"1998-04-24",87.9,88.5,79.1,83.3,83.45,169600,141.98
"1998-04-27",86,86,80,81.1,80.6,108000,88.49
"1998-04-28",80.5,80.5,73,75,74.05,249550,186.23
"1998-04-29",77,78.25,73.05,73.15,73.3,148650,112.95
"1998-04-30",72,75,70.05,74.4,74.7,111250,81.36
"1998-05-04",75,76.4,74.5,76.4,76.15,103650,78.51
"1998-05-05",77.5,83.2,75.6,82.5,82.3,206050,164.9
"1998-05-06",82,86,78,78.8,78.7,159950,128.44
"1998-05-08",75.5,79.2,75.35,77,77.3,86650,67.57
"1998-05-11",77,77.5,76.3,77.45,77.15,30300,23.32
"1998-05-12",74.05,74.9,69.45,73,72.75,189250,136.16
"1998-05-13",69.75,72.5,68,68.4,68.65,77250,54.34
"1998-05-14",67.7,72,67.25,71.85,71.7,70500,49.65
"1998-05-15",71,72.6,69.1,70.2,69.65,80000,56.37
"1998-05-18",70.9,72.4,70.7,71.3,71.35,64100,45.84
"1998-05-19",71,75.8,70.9,74.9,74.75,97850,72
"1998-05-20",77.9,78,75.65,76.7,76.75,87900,67.3
"1998-05-21",76,77,72,72.1,72.55,53800,39.87
"1998-05-22",73.45,73.45,72,73,72.85,32000,23.28
"1998-05-25",71,73,70.5,71.25,71.8,32300,23.35
"1998-05-26",72.7,72.7,68.75,70,69.35,74750,52.63
"1998-05-27",71,71,68.5,69.5,69.85,45850,32.14
"1998-05-28",69.05,70.45,67.9,68,68.05,32750,22.55
"1998-05-29",64.1,70.5,64,68.4,67.65,68700,46.02
"1998-06-01",68.85,71.7,66.65,66.9,67.1,101050,70.28
"1998-06-02",67.7,67.7,62.8,64.5,63.55,77100,50.12
"1998-06-03",67,67,62.55,63.5,63.5,61950,39.74
"1998-06-04",63.5,64.8,60.85,60.85,61.3,49850,31.14
"1998-06-05",59,60,55.2,55.2,55.25,75400,43.46
"1998-06-08",51.5,52.25,49.75,51.6,50.5,69850,35.01
"1998-06-09",50.5,54,49,54,52.9,106950,55.43
"1998-06-10",52.2,52.2,47.65,47.65,47.9,74050,36.4
"1998-06-11",48,48.5,44.55,47.4,46.95,74800,34.72
"1998-06-12",49,49.5,46,46.25,46.45,56450,26.9
"1998-06-15",46.5,47,43.15,43.15,43.95,48900,22.02
"1998-06-16",42.65,43.7,40.05,42.15,43,103000,43.85
"1998-06-17",44.9,47.3,42.75,47.3,47.2,66300,30.2
"1998-06-18",48,50,44.5,45.45,45.45,51800,24.27
"1998-06-19",43,44.9,41.1,42,41.45,55300,23.24
"1998-06-22",38.35,42.5,38.2,42,41.85,44450,18.06
"1998-06-23",40,41.9,39,40.8,40.3,67100,26.9
"1998-06-24",41.3,43.4,41.3,42.85,42.6,26950,11.44
"1998-06-25",45,45,42.45,43.5,43.65,34800,15.11
"1998-06-26",43.25,43.75,41.65,41.8,42.05,26700,11.32
"1998-06-29",42,46,41.2,45.15,45.35,38400,16.98
"1998-06-30",44.45,44.5,41.5,42.65,42.75,66350,28.33
"1998-07-01",39,40,38.5,39.25,39.6,54350,21.38
"1998-07-02",39.35,39.4,37.6,38.05,38.35,23400,9.04
"1998-07-03",37.75,37.8,36,36.6,36.25,29700,10.95
"1998-07-06",37.55,38,36.8,37.4,37.35,15500,5.79
"1998-07-07",37.65,41.1,37.3,41.1,40.85,58900,23.28
"1998-07-08",41.3,42,40.65,41,41.1,19850,8.18
"1998-07-09",41.9,41.9,40,40.6,40.35,22450,9.18
"1998-07-10",40.5,40.9,40.05,40.35,40.5,20450,8.29
"1998-07-13",41.4,41.75,40.25,40.3,40.5,16750,6.9
"1998-07-14",40.5,41,39.25,41,40.3,26200,10.5
"1998-07-15",40,41.15,39.85,40,40,29800,12.02
"1998-07-16",40,40,39,39.75,39.85,25550,10.13
"1998-07-17",40,40,39,39.5,39.25,19750,7.77
"1998-07-20",39.5,40.6,38.4,38.6,38.7,37350,14.57
"1998-07-21",37.3,38.5,37.25,38.25,38.2,71800,27.29
"1998-07-22",39.85,39.85,39,39.5,39.25,36650,14.41
"1998-07-23",38.9,39,38.05,38.25,38.35,17300,6.68
"1998-07-24",38.1,38.45,37.3,37.3,37.55,30050,11.35
"1998-07-27",37.2,38.1,36,37.1,37.25,19000,7.08
"1998-07-28",37.05,37.95,37.05,37.7,37.4,21500,8.07
"1998-07-29",38.45,38.5,37.25,37.9,37.95,19300,7.28
"1998-07-30",38.45,38.55,37.75,38,38.1,19450,7.43
"1998-07-31",38.1,38.75,37.6,37.6,37.8,11300,4.31
"1998-08-03",37.1,38.5,37.1,37.8,37.8,13300,5.02
"1998-08-04",37.55,38.4,37.5,37.85,37.8,6150,2.33
"1998-08-05",37.45,38,37.3,37.35,37.35,14200,5.34
"1998-08-06",38,38.25,37.5,37.55,37.65,13200,4.99
"1998-08-07",37.5,38,37.25,37.65,37.45,9600,3.61
"1998-08-10",37.1,37.75,37,37.5,37.5,7000,2.62
"1998-08-11",37.2,37.5,35.8,36,36.2,18550,6.8
"1998-08-12",34.05,35.8,34.05,35.3,35.15,17300,6.1
"1998-08-13",35.7,36,35.25,35.5,35.7,15800,5.62
"1998-08-14",36,36,35,35.25,35.35,17450,6.17
"1998-08-17",35.5,36,35.1,35.25,35.2,11650,4.15
"1998-08-18",35.5,35.5,34.75,34.75,34.85,17300,6.06
"1998-08-19",36,36,34,34.25,34.15,21950,7.61
"1998-08-20",34.05,34.7,33.5,34,34,179950,60.83
"1998-08-21",34.5,34.5,33.3,33.3,33.35,114800,38.68
"1998-08-24",35.7,35.7,32.75,33.3,33.15,24950,8.28
"1998-08-25",32.9,34,32.9,33.7,33.75,50700,17
"1998-08-27",34.25,34.3,33.4,33.5,33.5,20750,7.02
"1998-08-28",33.25,33.5,32.6,32.6,32.7,46250,15.23
"1998-08-31",32.9,32.9,30.55,31.75,31.6,9850,3.12
"1998-09-01",30,32,29.5,30,30,55250,16.6
